Country Name,Country Code,2020,2021,2022,2023,2024
Aruba,ABW,53.57694365,67.51990483,80.80688102,82.4000749,83.99248697
Africa Eastern and Southern,AFE,22.32210593,25.85191226,27.135342,26.15371232,25.73646874
Afghanistan,AFG,10.42081714,14.3421528,18.3800424,16.85278812,
Africa Western and Central,AFW,,,,,
Angola,AGO,31.57582801,39.44948407,35.19605302,32.32630243,31.48352347
Albania,ALB,22.54075856,31.13305626,37.19707556,38.41882129,36.28486854
Andorra,AND,,,,,
Arab World,ARB,35.7753843,41.50273946,47.84230619,46.79799591,
United Arab Emirates,ARE,98.07246754,100.6425743,102.051989,106.846139,
Argentina,ARG,16.60541444,18.06670917,16.28166773,12.8223121,15.24974859
Armenia,ARM,30.07664825,35.6688924,51.57092037,61.00832948,73.62535401
American Samoa,ASM,59.22330097,44.26666667,46.95752009,,
Antigua and Barbuda,ATG,41.88596376,46.96121357,54.72376496,,
Australia,AUS,23.93803739,22.00181442,25.46152984,26.70106825,24.62152405
Austria,AUT,51.66308997,55.95394507,61.42731212,58.48675957,55.67828509
Azerbaijan,AZE,35.62355587,46.48874717,59.98684807,48.9964135,45.90254636
Burundi,BDI,,,,,
Belgium,BEL,79.19687056,89.62535511,94.42134467,82.74319557,79.27308641
Benin,BEN,19.87247043,20.91880618,20.81533005,20.00351909,18.84015692
Burkina Faso,BFA,31.77686569,32.79707352,31.21807342,28.94020854,28.55771862
Bangladesh,BGD,10.44278806,10.6627789,12.88222643,13.15716383,10.46118783
Bulgaria,BGR,56.47512294,61.84960571,69.97947489,62.00497474,56.36996208
Bahrain,BHR,70.45443582,86.27421867,95.9613654,87.35114395,87.67499552
"Bahamas, The",BHS,23.27369924,27.9712553,37.15891428,37.81145024,37.7835885
Bosnia and Herzegovina,BIH,34.5918555,42.82259297,48.30712734,43.93173942,40.87284112
Belarus,BLR,61.01209718,70.83175504,63.05118689,66.02672857,65.06394503
Belize,BLZ,37.63732214,47.58148218,52.57878742,54.93084185,55.22339365
Bermuda,BMU,47.13465123,47.90012726,50.29884889,50.23129083,52.1443424
Bolivia,BOL,16.87175317,23.55251563,27.7939915,22.40280954,21.43506243
Brazil,BRA,16.45355201,19.10943037,19.630765,17.9693243,17.93857944
Barbados,BRB,,,,,
Brunei Darussalam,BRN,57.35611142,80.16891081,86.38935688,76.70320248,74.27074171
Bhutan,BTN,28.06563551,29.19874069,25.49883996,28.3881079,
Botswana,BWA,31.29036629,41.91255216,43.54361178,32.24985829,27.39428621
Central African Republic,CAF,15.17248,13.22746,12.3005,14.44082621,15.00702789
Canada,CAN,29.47364723,31.1750783,33.94319067,33.3498761,32.44377424
Central Europe and the Baltics,CEB,58.67785958,63.11755193,68.61967257,62.72511995,58.33117412
Switzerland,CHE,64.09555716,71.11923292,76.13976777,73.33315877,72.15894477
Channel Islands,CHI,,,,,
Chile,CHL,31.33039024,31.99279527,35.60662827,30.81106207,33.72332117
China,CHN,18.20358217,19.52624222,20.29773169,19.10247172,20.02291664
Cote d'Ivoire,CIV,20.99346848,22.29626784,24.26736033,22.43533905,26.02763247
Cameroon,CMR,15.23573698,16.50888404,19.32181332,16.85275622,15.67325366
"Congo, Dem. Rep.",COD,29.84551183,37.82951107,40.82032461,42.05398352,48.75426726
"Congo, Rep.",COG,40.71904328,52.83657086,63.81214686,56.8959278,52.77964305
Colombia,COL,13.52227556,16.19700595,20.38836799,17.83167841,16.09929872
Comoros,COM,5.671752101,9.917034175,12.9470275,10.35488061,9.911476705
Cabo Verde,CPV,25.29337077,23.84979836,38.68425422,39.28050485,42.49860636
Costa Rica,CRI,31.90649766,36.17635703,42.40519611,38.91563204,38.53179405
Caribbean small states,CSS,,,,,
Cuba,CUB,8.168455175,34.89356551,40.48962791,45.62676748,42.4701633
Curacao,CUW,,,,,
Cayman Islands,CYM,59.63359878,,,,
Cyprus,CYP,79.64725272,90.75783316,104.6660934,96.38999536,97.02023594
Czechia,CZE,67.76097323,70.55004514,72.40942814,68.40310693,68.86815145
Germany,DEU,39.11980688,42.51983793,45.62840434,42.96726242,41.43405937
Djibouti,DJI,117.134854,142.728194,159.2507355,150.7413226,126.4152671
Dominica,DMA,,,,,
Denmark,DNK,55.03689732,59.20734787,70.75521488,69.31436206,71.0020132
Dominican Republic,DOM,18.79720724,21.5282998,22.02618662,21.32331653,22.7679274
Algeria,DZA,15.53520111,23.44436729,30.79155618,23.79006047,19.85238007
East Asia & Pacific (excluding high income),EAP,21.51167643,23.08061967,24.45401908,23.03660649,24.18883262
Early-demographic dividend,EAR,22.41327508,25.63267875,28.40352003,25.87066606,25.16768232
East Asia & Pacific,EAS,26.2144297,28.57420327,31.01933466,29.63074463,30.96454542
Europe & Central Asia (excluding high income),ECA,31.91529602,37.45215641,40.79887728,35.11507032,31.8822271
Europe & Central Asia,ECS,41.92603045,45.40278389,49.78518417,46.36957965,44.82153
Ecuador,ECU,23.28356216,27.06597558,30.92524569,28.56592959,30.27860068
"Egypt, Arab Rep.",EGY,12.47277574,10.56115022,15.08702582,19.10609134,16.37624221
Euro area,EMU,44.67119609,48.54832237,53.94370458,50.31944011,49.16972376
Eritrea,ERI,,,,,
Spain,ESP,30.48102485,33.75708433,39.67168243,37.81664765,37.05587927
Estonia,EST,68.15455341,79.61590882,87.42993808,77.7746597,75.66948332
Ethiopia,ETH,7.127199897,7.631709191,8.243960378,6.59591829,5.539270822
European Union,EUU,45.84358292,49.7171734,55.29910381,51.75726413,50.37174565
Fragile and conflict affected situations,FCS,17.26479772,23.69310821,25.73185585,25.10547039,27.89353409
Finland,FIN,36.21434343,39.92177325,46.28478028,42.79305694,41.90779199
Fiji,FJI,,,,,
France,FRA,28.55722282,31.28804993,36.61604843,34.45625688,33.88975423
Faroe Islands,FRO,47.42836854,51.98048109,61.37440388,57.19475835,54.55625579
"Micronesia, Fed. Sts.",FSM,17.16265396,20.1735487,21.15603804,27.63498444,26.93959234
Gabon,GAB,47.59948282,60.93912049,67.57873319,63.72827778,64.57829848
United Kingdom,GBR,29.94865206,29.28940711,34.06192838,31.91226976,30.98415884
Georgia,GEO,36.90032417,42.67436121,52.47887922,49.26705983,47.81506611
Ghana,GHA,31.52542049,30.05511947,34.66404355,31.77081649,35.47337664
Gibraltar,GIB,,,,,
Guinea,GIN,46.96981813,56.21863328,45.41865143,44.13206305,41.39300677
"Gambia, The",GMB,9.607643888,6.61733476,8.569850632,7.053223714,8.748842308
Guinea-Bissau,GNB,15.46795146,17.53789352,14.72484367,13.20798741,11.84731827
Equatorial Guinea,GNQ,40.84544985,45.12755105,52.9670852,36.60232619,35.16425257
Greece,GRC,31.45043249,40.26040855,49.23162056,43.83883847,42.11167832
Grenada,GRD,,,,,
Greenland,GRL,35.96582364,34.0554689,40.79008715,40.79864217,
